TITEL   ="............."
VARIABLES = "x", "r"
ZONE T="CNET",          I = 281,   J = 21 F=POINT
#  k=0
0.011234  0.218922 
0.014043  0.219544 
0.016851  0.220169 
0.019660  0.220790 
0.022468  0.221402 
0.025277  0.221998 
0.028086  0.222573 
0.030894  0.223121 
0.033703  0.223634 
0.036511  0.224107 
0.039320  0.224535 
0.042128  0.224910 
0.044937  0.225227 
0.047746  0.225480 
0.050554  0.225670 
0.053363  0.225803 
0.056171  0.225883 
0.058980  0.225917 
0.061788  0.225909 
0.064597  0.225867 
0.067405  0.225794 
0.070214  0.225697 
0.073023  0.225582 
0.075831  0.225453 
0.078640  0.225317 
0.081448  0.225179 
0.084257  0.225044 
0.087065  0.224914 
0.089874  0.224786 
0.092683  0.224656 
0.095491  0.224520 
0.098300  0.224375 
0.101108  0.224217 
0.103917  0.224041 
0.106725  0.223846 
0.109534  0.223626 
0.112342  0.223378 
0.115151  0.223099 
0.117960  0.222784 
0.120768  0.222431 
0.123577  0.222035 
0.126385  0.221592 
0.129194  0.221100 
0.132002  0.220565 
0.134811  0.219995 
0.137620  0.219398 
0.140428  0.218783 
0.143237  0.218158 
0.146045  0.217533 
0.148854  0.216915 
0.151662  0.216313 
0.154471  0.215737 
0.157279  0.215193 
0.160088  0.214692 
0.162896  0.214241 
0.165705  0.213849 
0.168514  0.213525 
0.171322  0.213277 
0.174131  0.213114 
0.176939  0.213044 
0.179748  0.213071 
0.182557  0.213192 
0.185365  0.213402 
0.188174  0.213697 
0.190982  0.214075 
0.193791  0.214531 
0.196599  0.215062 
0.199408  0.215663 
0.202216  0.216331 
0.205025  0.217063 
0.207834  0.217853 
0.210642  0.218700 
0.213451  0.219597 
0.216259  0.220543 
0.219068  0.221533 
0.221876  0.222564 
0.224685  0.223631 
0.227493  0.224731 
0.230302  0.225860 
0.233110  0.227014 
0.235919  0.228190 
0.238728  0.229383 
0.241536  0.230591 
0.244345  0.231808 
0.247153  0.233033 
0.249962  0.234265 
0.252771  0.235504 
0.255579  0.236749 
0.258388  0.238000 
0.261196  0.239256 
0.264005  0.240517 
0.266813  0.241783 
0.269622  0.243052 
0.272430  0.244325 
0.275239  0.245600 
0.278048  0.246879 
0.280856  0.248159 
0.283665  0.249441 
0.286473  0.250725 
0.289282  0.252008 
0.292090  0.253293 
0.294899  0.254577 
0.297707  0.255860 
0.300516  0.257143 
0.303325  0.258424 
0.306133  0.259703 
0.308942  0.260979 
0.311750  0.262253 
0.314559  0.263523 
0.317367  0.264790 
0.320176  0.266052 
0.322985  0.267309 
0.325793  0.268561 
0.328602  0.269808 
0.331410  0.271049 
0.334219  0.272283 
0.337027  0.273510 
0.339836  0.274729 
0.342644  0.275941 
0.345453  0.277144 
0.348262  0.278339 
0.351070  0.279524 
0.353879  0.280700 
0.356687  0.281865 
0.359496  0.283020 
0.362304  0.284164 
0.365113  0.285296 
0.367922  0.286416 
0.370730  0.287524 
0.373539  0.288619 
0.376347  0.289700 
0.379156  0.290768 
0.381964  0.291821 
0.384773  0.292860 
0.387581  0.293883 
0.390390  0.294891 
0.393199  0.295883 
0.396007  0.296858 
0.398816  0.297816 
0.401624  0.298757 
0.404433  0.299680 
0.407241  0.300584 
0.410050  0.301470 
0.412859  0.302337 
0.415667  0.303183 
0.418476  0.304010 
0.421284  0.304816 
0.424093  0.305601 
0.426901  0.306364 
0.429710  0.307105 
0.432518  0.307824 
0.435327  0.308520 
0.438136  0.309192 
0.440944  0.309841 
0.443753  0.310468 
0.446561  0.311071 
0.449370  0.311654 
0.452178  0.312215 
0.454987  0.312757 
0.457795  0.313279 
0.460604  0.313783 
0.463413  0.314268 
0.466221  0.314736 
0.469030  0.315188 
0.471838  0.315624 
0.474647  0.316045 
0.477455  0.316452 
0.480264  0.316845 
0.483073  0.317225 
0.485881  0.317593 
0.488690  0.317949 
0.491498  0.318293 
0.494307  0.318626 
0.497115  0.318946 
0.499924  0.319254 
0.502732  0.319549 
0.505541  0.319832 
0.508350  0.320102 
0.511158  0.320359 
0.513967  0.320603 
0.516775  0.320833 
0.519584  0.321050 
0.522392  0.321253 
0.525201  0.321443 
0.528009  0.321618 
0.530818  0.321779 
0.533627  0.321925 
0.536435  0.322057 
0.539244  0.322174 
0.542052  0.322275 
0.544861  0.322361 
0.547669  0.322431 
0.550478  0.322485 
0.553287  0.322523 
0.556095  0.322544 
0.558904  0.322549 
0.561712  0.322536 
0.564521  0.322507 
0.567329  0.322461 
0.570138  0.322400 
0.572946  0.322323 
0.575755  0.322232 
0.578564  0.322126 
0.581372  0.322007 
0.584181  0.321874 
0.586989  0.321729 
0.589798  0.321572 
0.592606  0.321403 
0.595415  0.321223 
0.598223  0.321032 
0.601032  0.320831 
0.603841  0.320621 
0.606649  0.320402 
0.609458  0.320174 
0.612266  0.319938 
0.615075  0.319692 
0.617883  0.319435 
0.620692  0.319165 
0.623501  0.318881 
0.626309  0.318581 
0.629118  0.318264 
0.631926  0.317928 
0.634735  0.317571 
0.637543  0.317192 
0.640352  0.316789 
0.643161  0.316361 
0.645969  0.315905 
0.648778  0.315422 
0.651586  0.314908 
0.654395  0.314363 
0.657203  0.313784 
0.660012  0.313172 
0.662820  0.312529 
0.665629  0.311857 
0.668438  0.311159 
0.671246  0.310437 
0.674055  0.309694 
0.676863  0.308932 
0.679672  0.308154 
0.682480  0.307363 
0.685289  0.306560 
0.688097  0.305749 
0.690906  0.304931 
0.693715  0.304110 
0.696523  0.303288 
0.699332  0.302467 
0.702140  0.301650 
0.704949  0.300839 
0.707757  0.300038 
0.710566  0.299247 
0.713374  0.298471 
0.716183  0.297711 
0.718992  0.296969 
0.721800  0.296244 
0.724609  0.295535 
0.727417  0.294842 
0.730226  0.294164 
0.733034  0.293500 
0.735843  0.292850 
0.738652  0.292213 
0.741460  0.291587 
0.744269  0.290974 
0.747077  0.290371 
0.749886  0.289777 
0.752694  0.289193 
0.755503  0.288618 
0.758312  0.288050 
0.761120  0.287490 
0.763929  0.286936 
0.766737  0.286388 
0.769546  0.285845 
0.772354  0.285306 
0.775163  0.284770 
0.777971  0.284238 
0.780780  0.283707 
0.783589  0.283178 
0.786397  0.282650 
#  k=2
0.000000  0.219335 
0.002809  0.219828 
0.005617  0.220345 
0.008426  0.220880 
0.011234  0.221429 
0.014043  0.221986 
0.016851  0.222545 
0.019660  0.223102 
0.022468  0.223650 
0.025277  0.224184 
0.028086  0.224699 
0.030894  0.225190 
0.033703  0.225651 
0.036511  0.226077 
0.039320  0.226462 
0.042128  0.226801 
0.044937  0.227089 
0.047746  0.227320 
0.050554  0.227495 
0.053363  0.227620 
0.056171  0.227698 
0.058980  0.227736 
0.061788  0.227737 
0.064597  0.227707 
0.067405  0.227651 
0.070214  0.227574 
0.073023  0.227481 
0.075831  0.227376 
0.078640  0.227265 
0.081448  0.227152 
0.084257  0.227043 
0.087065  0.226939 
0.089874  0.226836 
0.092683  0.226731 
0.095491  0.226621 
0.098300  0.226503 
0.101108  0.226372 
0.103917  0.226225 
0.106725  0.226060 
0.109534  0.225872 
0.112342  0.225659 
0.115151  0.225416 
0.117960  0.225140 
0.120768  0.224828 
0.123577  0.224477 
0.126385  0.224082 
0.129194  0.223642 
0.132002  0.223162 
0.134811  0.222649 
0.137620  0.222113 
0.140428  0.221560 
0.143237  0.220999 
0.146045  0.220438 
0.148854  0.219886 
0.151662  0.219350 
0.154471  0.218839 
0.157279  0.218361 
0.160088  0.217923 
0.162896  0.217535 
0.165705  0.217203 
0.168514  0.216937 
0.171322  0.216744 
0.174131  0.216633 
0.176939  0.216611 
0.179748  0.216683 
0.182557  0.216843 
0.185365  0.217090 
0.188174  0.217419 
0.190982  0.217827 
0.193791  0.218311 
0.196599  0.218865 
0.199408  0.219488 
0.202216  0.220175 
0.205025  0.220922 
0.207834  0.221727 
0.210642  0.222584 
0.213451  0.223492 
0.216259  0.224446 
0.219068  0.225442 
0.221876  0.226477 
0.224685  0.227547 
0.227493  0.228649 
0.230302  0.229779 
0.233110  0.230933 
0.235919  0.232108 
0.238728  0.233300 
0.241536  0.234506 
0.244345  0.235721 
0.247153  0.236944 
0.249962  0.238174 
0.252771  0.239411 
0.255579  0.240653 
0.258388  0.241901 
0.261196  0.243155 
0.264005  0.244413 
0.266813  0.245676 
0.269622  0.246942 
0.272430  0.248212 
0.275239  0.249486 
0.278048  0.250761 
0.280856  0.252039 
0.283665  0.253319 
0.286473  0.254600 
0.289282  0.255882 
0.292090  0.257165 
0.294899  0.258448 
0.297707  0.259730 
0.300516  0.261011 
0.303325  0.262291 
0.306133  0.263570 
0.308942  0.264846 
0.311750  0.266120 
0.314559  0.267390 
0.317367  0.268658 
0.320176  0.269921 
0.322985  0.271180 
0.325793  0.272435 
0.328602  0.273684 
0.331410  0.274928 
0.334219  0.276166 
0.337027  0.277397 
0.339836  0.278621 
0.342644  0.279838 
0.345453  0.281048 
0.348262  0.282249 
0.351070  0.283441 
0.353879  0.284625 
0.356687  0.285799 
0.359496  0.286963 
0.362304  0.288116 
0.365113  0.289259 
0.367922  0.290391 
0.370730  0.291511 
0.373539  0.292619 
0.376347  0.293714 
0.379156  0.294797 
0.381964  0.295866 
0.384773  0.296921 
0.387581  0.297962 
0.390390  0.298989 
0.393199  0.300000 
0.396007  0.300996 
0.398816  0.301975 
0.401624  0.302939 
0.404433  0.303885 
0.407241  0.304814 
0.410050  0.305726 
0.412859  0.306619 
0.415667  0.307494 
0.418476  0.308349 
0.421284  0.309186 
0.424093  0.310002 
0.426901  0.310798 
0.429710  0.311573 
0.432518  0.312328 
0.435327  0.313060 
0.438136  0.313771 
0.440944  0.314459 
0.443753  0.315125 
0.446561  0.315770 
0.449370  0.316395 
0.452178  0.316999 
0.454987  0.317584 
0.457795  0.318149 
0.460604  0.318696 
0.463413  0.319225 
0.466221  0.319736 
0.469030  0.320231 
0.471838  0.320709 
0.474647  0.321171 
0.477455  0.321617 
0.480264  0.322049 
0.483073  0.322466 
0.485881  0.322870 
0.488690  0.323260 
0.491498  0.323637 
0.494307  0.324001 
0.497115  0.324352 
0.499924  0.324691 
0.502732  0.325017 
0.505541  0.325330 
0.508350  0.325631 
0.511158  0.325920 
0.513967  0.326196 
0.516775  0.326461 
0.519584  0.326714 
0.522392  0.326955 
0.525201  0.327184 
0.528009  0.327402 
0.530818  0.327608 
0.533627  0.327802 
0.536435  0.327983 
0.539244  0.328150 
0.542052  0.328303 
0.544861  0.328443 
0.547669  0.328567 
0.550478  0.328677 
0.553287  0.328771 
0.556095  0.328849 
0.558904  0.328910 
0.561712  0.328955 
0.564521  0.328983 
0.567329  0.328995 
0.570138  0.328991 
0.572946  0.328972 
0.575755  0.328938 
0.578564  0.328891 
0.581372  0.328830 
0.584181  0.328756 
0.586989  0.328669 
0.589798  0.328571 
0.592606  0.328462 
0.595415  0.328341 
0.598223  0.328211 
0.601032  0.328071 
0.603841  0.327922 
0.606649  0.327764 
0.609458  0.327599 
0.612266  0.327426 
0.615075  0.327243 
0.617883  0.327051 
0.620692  0.326847 
0.623501  0.326629 
0.626309  0.326397 
0.629118  0.326150 
0.631926  0.325884 
0.634735  0.325601 
0.637543  0.325296 
0.640352  0.324971 
0.643161  0.324622 
0.645969  0.324248 
0.648778  0.323849 
0.651586  0.323423 
0.654395  0.322968 
0.657203  0.322482 
0.660012  0.321967 
0.662820  0.321423 
0.665629  0.320852 
0.668438  0.320258 
0.671246  0.319642 
0.674055  0.319007 
0.676863  0.318354 
0.679672  0.317686 
0.682480  0.317006 
0.685289  0.316314 
0.688097  0.315614 
0.690906  0.314908 
0.693715  0.314198 
0.696523  0.313486 
0.699332  0.312774 
0.702140  0.312065 
0.704949  0.311361 
0.707757  0.310664 
0.710566  0.309976 
0.713374  0.309299 
0.716183  0.308637 
0.718992  0.307988 
0.721800  0.307355 
0.724609  0.306735 
0.727417  0.306128 
0.730226  0.305533 
0.733034  0.304951 
0.735843  0.304379 
0.738652  0.303819 
0.741460  0.303269 
0.744269  0.302728 
0.747077  0.302196 
0.749886  0.301673 
0.752694  0.301157 
0.755503  0.300648 
0.758312  0.300146 
0.761120  0.299650 
0.763929  0.299159 
0.766737  0.298673 
0.769546  0.298192 
0.772354  0.297714 
0.775163  0.297238 
0.777971  0.296765 
0.780780  0.296294 
0.783589  0.295825 
0.786397  0.295355 
#  k=3
0.000000  0.222085 
0.002809  0.222521 
0.005617  0.222978 
0.008426  0.223452 
0.011234  0.223936 
0.014043  0.224428 
0.016851  0.224922 
0.019660  0.225413 
0.022468  0.225897 
0.025277  0.226370 
0.028086  0.226825 
0.030894  0.227260 
0.033703  0.227668 
0.036511  0.228046 
0.039320  0.228389 
0.042128  0.228692 
